Time, ind speed, true speed, alt-m, rv-m, kren, tang, cax, weight, gear comp main, tnv, tvg
0.1083333333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2.091666667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3.083333333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4.075, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5.066666667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6.058333333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7.05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8.041666667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9.033333333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10.025, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11.01666667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12.00833333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13.99166667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
14.98333333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15.975, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16.96666667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17.95833333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18.95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19.94166667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20.93333333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21.925, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
22.91666667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23.90833333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
24.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
25.89166667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
26.88333333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
27.875, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
28.86666667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
29.85833333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
30.85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
31.84166667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
32.83333333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
33.825, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
34.81666667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
35.80833333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
36.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
37.79166667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
38.78333333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
39.775, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40.76666667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
41.75833333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
42.75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
43.74166667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
44.73333333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
45.725, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46.71666667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
47.70833333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
48.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
49.69166667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
50.68333333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
51.675, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
52.66666667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53.65833333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
54.65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
55.64166667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
56.63333333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
57.625, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
58.61666667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
59.60833333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
60.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
61.59166667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
62.58333333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
63.575, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
64.56666667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
65.55833333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
66.55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67.54166667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
68.53333333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69.525, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
70.51666667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
71.50833333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
72.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
73.49166667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
74.48333333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
75.475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
76.46666667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
77.45833333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
78.45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
79.44166667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
80.43333333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
81.425, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
82.41666667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
83.40833333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
84.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
85.39166667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
86.38333333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
87.375, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
88.36666667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
89.35833333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
90.35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91.34166667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
92.33333333, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
93.325, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
94.31666667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
